,userId,recept,rating,recipeId
0,0,Zalmvissticks uit de oven met taco's en salsa,1,133
1,0,Wraps met sprinkhanen,2,4833
2,0,Zalmvissticks uit de oven met taco's en salsa,1,133
3,0,Rijkgevulde wraps met kidneybonen,4,3150
4,0,Gegrilde wraps met tomaten-mangosalade,5,1799
5,0,Aziatische slawraps met kip &amp; rijst,4,1281
6,0,Wraps met kikkererwten en fetacrème,5,1033
7,0,Burrito's met paprikarijst,4,7415
8,0,Mexicaanse tonijnwraps,1,6466
9,0,Wraps met kikkererwten en fetacrème,5,1033
10,1,Koningsburger met zoete aardappelfriet,5,2937
11,1,Koningsburger met zoete aardappelfriet,5,2937
12,1,Hartige pompoentaart ,2,5614
13,1,Koningsburger met zoete aardappelfriet,5,2937
14,1,Koningsburger met zoete aardappelfriet,5,2937
15,1,Koningsburger met zoete aardappelfriet,5,2937
16,1,Koningsburger met zoete aardappelfriet,5,2937
17,1,Hartige pompoentaart ,2,5614
18,1,Koningsburger met zoete aardappelfriet,5,2937
19,1,Gehakttaartjes met ei en tomatensalade,1,3042
20,2,Simpele kaasfondue,1,7544
21,2,Simpele kaasfondue,1,7544
22,2,Spi­na­zie-ri­cot­ta­ro­to­lo,5,7608
23,2,Wellington van rundergehakt,2,8538
24,2,Simpele kaasfondue,1,7544
25,2,Wellington van rundergehakt,2,8538
26,2,Spi­na­zie-ri­cot­ta­ro­to­lo,5,7608
27,2,Spi­na­zie-ri­cot­ta­ro­to­lo,5,7608
28,2,Simpele kaasfondue,1,7544
29,2,Wellington van rundergehakt,2,8538
30,3,"Noedelroerbak met garnalen, rode curry &amp; broccoli",2,3914
31,3,Thaise curry met bloemkoolrijst en visfilet,3,3926
32,3,Thaise scholspiesjes met kruidige rijst en wortelsalade,5,6206
33,3,Thaise glasnoedelsalade,2,364
34,3,Snelle pad thai met kip en ei,2,4566
35,3,Thaise gehaktballetjes met paksoi,3,8611
36,3,Kippensoep met kastanjechampignons,3,8608
37,3,Thaise glasnoedelsalade,2,364
38,3,Thaise groene curry met garnalen en rijst,2,1846
39,3,Thaise kip met spitskool en romige kokosrijst,2,5229
40,4,Gegrilde vega-tomatenspiesjes met rodekool-broccolisalade,4,1447
41,4,Snelle chili sin carne,2,3374
42,4,Quesadilla met tonijn ,3,5466
43,4,Gegrilde vega-tomatenspiesjes met rodekool-broccolisalade,4,1447
44,4,Hartige broodtaartjes,1,6506
45,4,Quiche lorraine met ham en bosuitjes,5,7358
46,4,Hartige taart met kip en paprika,4,6135
47,4,Steamed buns met Koreaanse kip,4,4847
48,4,Pittige kipdrumsticks met tzatziki,2,2916
49,4,Mini-bloemkoolpizza's,5,2499
50,5,Köfte met yoghurtsaus en verse kruiden,3,1868
51,5,Turkse köfte met couscous,1,5112
52,5,Ui-gehaktballetjes op Turks brood,2,3204
53,5,Maaltijdsalade met Turkse balletjes,4,3954
54,5,Wraps met shoarma en salade,3,7349
55,5,Köfte met yoghurtsaus en verse kruiden,3,1868
56,5,Shoarma-groentepakketjes met pitabrood,1,1894
57,5,Wraps met shoarma en salade,3,7349
58,5,Turkse pizza,4,5871
59,5,Wraps met shoarma en salade,3,7349
